,Company Name,Clients (Domestic PF/EPFO),Clients (Domestic Corporates),Clients (Domestic Non-Corporates),Clients (Foreign Non-Residents),Clients (Foreign FPI),Clients (Foreign Others),Clients (Total),AUM (Domestic PF/EPFO),AUM (Domestic Corporates),AUM (Domestic Non-Corporates),AUM (Foreign Non-Residents),AUM (Foreign FPI),AUM (Foreign Others),AUM (Total)
202,IRONCLAD ASSET MANAGEMENT LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,ITHOUGHT FINANCIAL CONSULTING LLP,0.0,44.0,1111.0,216.0,0.0,0.0,1371.0,0.0,132.46,2317.32,335.03,0.0,0.0,2784.81
204,ITI ALTERNATE FUNDS MANAGEMENT LIMITED,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,27.36362,0.0,0.0,0.0,27.36362
205,ITUS CAPITAL ADVISORS PVT LTD,0.0,48.0,399.0,72.0,7.0,0.0,526.0,0.0,361.03,907.34,141.17,160.0,0.0,1569.54
206,IVYCAP VENTURES ADVISORS PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,JAIN INVESTMENT ADVISORS PVT. LTD,0.0,49.0,838.0,172.0,0.0,0.0,1059.0,0.0,160.73162,1296.62687,255.26733,0.0,0.0,1712.62581
208,JAINAM BROKING LIMITED,0.0,1.0,9.0,0.0,0.0,0.0,10.0,0.0,1.44,6.28,0.0,0.0,0.0,7.72
209,JAMA WEALTH ASSET MANAGEMENT PRIVATE LIMITED,0.0,1.0,46.0,4.0,0.0,0.0,51.0,0.0,2.42,70.02,3.48,0.0,0.0,75.92
210,JANAK MERCHANT SECURITIES PVT LTD,0.0,3.0,228.0,37.0,4.0,0.0,272.0,0.0,39.31,539.02,159.8,29.77,0.0,767.9
211,JASHVIK CAPITAL ADVISORY LLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,JEETAY INVESTMENTS PVT LTD,0.0,12.0,133.0,16.0,0.0,0.0,161.0,0.0,244.53,713.13,47.86,0.0,0.0,1005.52
213,JM FINANCIAL LIMITED,0.0,65.0,313.0,23.0,0.0,0.0,401.0,0.0,799.9,1123.54,100.93,0.0,0.0,2024.35
214,JOINDRE CAPITAL SERVICES LIMITED,0.0,3.0,36.0,6.0,0.0,0.0,45.0,0.0,10.4589,46.78862,6.80764,0.0,0.0,64.05516
215,JULIUS BAER WEALTH ADVISORS INDIA PRIVATE LIMITED,0.0,108.0,461.0,22.0,0.0,1.0,592.0,0.0,1658.75537,3724.69182,219.79166,0.0,3035.90674,8639.14558
216,KAE CAPITAL MANAGEMENT PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,KAPM VENTURES LLP,0.0,1.0,12.0,0.0,0.0,0.0,13.0,0.0,8.89,131.33,0.0,0.0,0.0,140.22
218,KARMA CAPITAL ADVISORS PVT. LTD.,0.0,11.0,122.0,22.0,3.0,0.0,158.0,0.0,54.51972,185.5938,102.31258,6470.71781,0.0,6813.14391
219,KARVY CAPITAL LIMITED,0.0,20.0,1011.0,0.0,0.0,0.0,1031.0,0.0,14.31,270.18,0.0,0.0,0.0,284.49
220,KB CAPITAL MARKETS PVT. LTD.,0.0,18.0,187.0,16.0,0.0,0.0,221.0,0.0,59.04,324.21,15.38,0.0,0.0,398.63
221,KEDIA SHARES  AND  STOCKS BROKERS LTD,0.0,4.0,48.0,8.0,0.0,0.0,60.0,0.0,2.69001,75.96625,6.80183,0.0,0.0,85.45809
